trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
3000320,10:20:00,10:20:00,3000000,1,,,,,
3000320,10:20:00,10:20:00,3000002,2,,,,,
3000320,10:20:00,10:20:00,3000001,3,,,,,
3000320,10:20:00,10:20:00,3000003,4,,,,,
3000321,10:30:00,10:30:00,3000000,1,,,,,
3000321,10:30:00,10:30:00,3000002,2,,,,,
3000321,10:30:00,10:30:00,3000001,3,,,,,
3000321,10:30:00,10:30:00,3000003,4,,,,,
3000322,10:40:00,10:40:00,3000000,1,,,,,
3000322,10:40:00,10:40:00,3000002,2,,,,,
3000322,10:40:00,10:40:00,3000001,3,,,,,
3000322,10:40:00,10:40:00,3000003,4,,,,,
3000323,10:50:00,10:50:00,3000000,1,,,,,
3000323,10:50:00,10:50:00,3000002,2,,,,,
3000323,10:50:00,10:50:00,3000001,3,,,,,
3000323,10:50:00,10:50:00,3000003,4,,,,,
3000324,11:00:00,11:00:00,3000000,1,,,,,
3000324,11:00:00,11:00:00,3000002,2,,,,,
3000324,11:00:00,11:00:00,3000001,3,,,,,
3000324,11:00:00,11:00:00,3000003,4,,,,,
3000325,11:10:00,11:10:00,3000000,1,,,,,
3000325,11:10:00,11:10:00,3000002,2,,,,,
3000325,11:10:00,11:10:00,3000001,3,,,,,
3000325,11:10:00,11:10:00,3000003,4,,,,,
3000326,11:20:00,11:20:00,3000000,1,,,,,
3000326,11:20:00,11:20:00,3000002,2,,,,,
3000326,11:20:00,11:20:00,3000001,3,,,,,
3000326,11:20:00,11:20:00,3000003,4,,,,,
3000327,11:30:00,11:30:00,3000000,1,,,,,
3000327,11:30:00,11:30:00,3000002,2,,,,,
3000327,11:30:00,11:30:00,3000001,3,,,,,
3000327,11:30:00,11:30:00,3000003,4,,,,,
3000328,11:40:00,11:40:00,3000000,1,,,,,
3000328,11:40:00,11:40:00,3000002,2,,,,,
3000328,11:40:00,11:40:00,3000001,3,,,,,
3000328,11:40:00,11:40:00,3000003,4,,,,,
3000329,11:50:00,11:50:00,3000000,1,,,,,
3000329,11:50:00,11:50:00,3000002,2,,,,,
3000329,11:50:00,11:50:00,3000001,3,,,,,
3000329,11:50:00,11:50:00,3000003,4,,,,,
3000330,12:00:00,12:00:00,3000000,1,,,,,
3000330,12:00:00,12:00:00,3000002,2,,,,,
3000330,12:00:00,12:00:00,3000001,3,,,,,
3000330,12:00:00,12:00:00,3000003,4,,,,,
3000331,12:10:00,12:10:00,3000000,1,,,,,
3000331,12:10:00,12:10:00,3000002,2,,,,,
3000331,12:10:00,12:10:00,3000001,3,,,,,
3000331,12:10:00,12:10:00,3000003,4,,,,,
3000332,12:20:00,12:20:00,3000000,1,,,,,
3000332,12:20:00,12:20:00,3000002,2,,,,,
3000332,12:20:00,12:20:00,3000001,3,,,,,
3000332,12:20:00,12:20:00,3000003,4,,,,,
3000333,12:30:00,12:30:00,3000000,1,,,,,
3000333,12:30:00,12:30:00,3000002,2,,,,,
3000333,12:30:00,12:30:00,3000001,3,,,,,
3000333,12:30:00,12:30:00,3000003,4,,,,,
3000334,12:40:00,12:40:00,3000000,1,,,,,
3000334,12:40:00,12:40:00,3000002,2,,,,,
3000334,12:40:00,12:40:00,3000001,3,,,,,
3000334,12:40:00,12:40:00,3000003,4,,,,,
3000335,12:50:00,12:50:00,3000000,1,,,,,
3000335,12:50:00,12:50:00,3000002,2,,,,,
3000335,12:50:00,12:50:00,3000001,3,,,,,
3000335,12:50:00,12:50:00,3000003,4,,,,,
3000336,13:00:00,13:00:00,3000000,1,,,,,
3000336,13:00:00,13:00:00,3000002,2,,,,,
3000336,13:00:00,13:00:00,3000001,3,,,,,
3000336,13:00:00,13:00:00,3000003,4,,,,,
3000337,13:10:00,13:10:00,3000000,1,,,,,
3000337,13:10:00,13:10:00,3000002,2,,,,,
3000337,13:10:00,13:10:00,3000001,3,,,,,
3000337,13:10:00,13:10:00,3000003,4,,,,,
3000338,13:20:00,13:20:00,3000000,1,,,,,
3000338,13:20:00,13:20:00,3000002,2,,,,,
3000338,13:20:00,13:20:00,3000001,3,,,,,
3000338,13:20:00,13:20:00,3000003,4,,,,,
3000339,13:30:00,13:30:00,3000000,1,,,,,
3000339,13:30:00,13:30:00,3000002,2,,,,,
3000339,13:30:00,13:30:00,3000001,3,,,,,
3000339,13:30:00,13:30:00,3000003,4,,,,,
3000340,13:40:00,13:40:00,3000000,1,,,,,
3000340,13:40:00,13:40:00,3000002,2,,,,,
3000340,13:40:00,13:40:00,3000001,3,,,,,
3000340,13:40:00,13:40:00,3000003,4,,,,,
3000341,13:50:00,13:50:00,3000000,1,,,,,
3000341,13:50:00,13:50:00,3000002,2,,,,,
3000341,13:50:00,13:50:00,3000001,3,,,,,
3000341,13:50:00,13:50:00,3000003,4,,,,,
3000342,14:00:00,14:00:00,3000000,1,,,,,
3000342,14:00:00,14:00:00,3000002,2,,,,,
3000342,14:00:00,14:00:00,3000001,3,,,,,
3000342,14:00:00,14:00:00,3000003,4,,,,,
3000343,14:10:00,14:10:00,3000000,1,,,,,
3000343,14:10:00,14:10:00,3000002,2,,,,,
3000343,14:10:00,14:10:00,3000001,3,,,,,
3000343,14:10:00,14:10:00,3000003,4,,,,,
3000344,14:20:00,14:20:00,3000000,1,,,,,
3000344,14:20:00,14:20:00,3000002,2,,,,,
3000344,14:20:00,14:20:00,3000001,3,,,,,
3000344,14:20:00,14:20:00,3000003,4,,,,,
3000345,14:30:00,14:30:00,3000000,1,,,,,
3000345,14:30:00,14:30:00,3000002,2,,,,,
3000345,14:30:00,14:30:00,3000001,3,,,,,
3000345,14:30:00,14:30:00,3000003,4,,,,,
3000346,14:40:00,14:40:00,3000000,1,,,,,
3000346,14:40:00,14:40:00,3000002,2,,,,,
3000346,14:40:00,14:40:00,3000001,3,,,,,
3000346,14:40:00,14:40:00,3000003,4,,,,,
3000347,14:50:00,14:50:00,3000000,1,,,,,
3000347,14:50:00,14:50:00,3000002,2,,,,,
3000347,14:50:00,14:50:00,3000001,3,,,,,
3000347,14:50:00,14:50:00,3000003,4,,,,,
3000348,15:00:00,15:00:00,3000000,1,,,,,
3000348,15:00:00,15:00:00,3000002,2,,,,,
3000348,15:00:00,15:00:00,3000001,3,,,,,
3000348,15:00:00,15:00:00,3000003,4,,,,,
3000349,15:10:00,15:10:00,3000000,1,,,,,
3000349,15:10:00,15:10:00,3000002,2,,,,,
3000349,15:10:00,15:10:00,3000001,3,,,,,
3000349,15:10:00,15:10:00,3000003,4,,,,,
3000350,15:20:00,15:20:00,3000000,1,,,,,
3000350,15:20:00,15:20:00,3000002,2,,,,,
3000350,15:20:00,15:20:00,3000001,3,,,,,
3000350,15:20:00,15:20:00,3000003,4,,,,,
3000351,15:30:00,15:30:00,3000000,1,,,,,
3000351,15:30:00,15:30:00,3000002,2,,,,,
3000351,15:30:00,15:30:00,3000001,3,,,,,
3000351,15:30:00,15:30:00,3000003,4,,,,,
3000352,15:40:00,15:40:00,3000000,1,,,,,
3000352,15:40:00,15:40:00,3000002,2,,,,,
3000352,15:40:00,15:40:00,3000001,3,,,,,
3000352,15:40:00,15:40:00,3000003,4,,,,,
3000353,15:50:00,15:50:00,3000000,1,,,,,
3000353,15:50:00,15:50:00,3000002,2,,,,,
3000353,15:50:00,15:50:00,3000001,3,,,,,
3000353,15:50:00,15:50:00,3000003,4,,,,,
3000354,16:00:00,16:00:00,3000000,1,,,,,
3000354,16:00:00,16:00:00,3000002,2,,,,,
3000354,16:00:00,16:00:00,3000001,3,,,,,
3000354,16:00:00,16:00:00,3000003,4,,,,,
3000355,16:05:00,16:05:00,3000000,1,,,,,
3000355,16:05:00,16:05:00,3000002,2,,,,,
3000355,16:05:00,16:05:00,3000001,3,,,,,
3000355,16:05:00,16:05:00,3000003,4,,,,,
3000356,16:10:00,16:10:00,3000000,1,,,,,
3000356,16:10:00,16:10:00,3000002,2,,,,,
3000356,16:10:00,16:10:00,3000001,3,,,,,
3000356,16:10:00,16:10:00,3000003,4,,,,,
3000357,16:15:00,16:15:00,3000000,1,,,,,
3000357,16:15:00,16:15:00,3000002,2,,,,,
3000357,16:15:00,16:15:00,3000001,3,,,,,
3000357,16:15:00,16:15:00,3000003,4,,,,,
3000358,16:20:00,16:20:00,3000000,1,,,,,
3000358,16:20:00,16:20:00,3000002,2,,,,,
3000358,16:20:00,16:20:00,3000001,3,,,,,
3000358,16:20:00,16:20:00,3000003,4,,,,,
3000359,16:25:00,16:25:00,3000000,1,,,,,
3000359,16:25:00,16:25:00,3000002,2,,,,,
3000359,16:25:00,16:25:00,3000001,3,,,,,
3000359,16:25:00,16:25:00,3000003,4,,,,,
3000360,16:30:00,16:30:00,3000000,1,,,,,
3000360,16:30:00,16:30:00,3000002,2,,,,,
3000360,16:30:00,16:30:00,3000001,3,,,,,
3000360,16:30:00,16:30:00,3000003,4,,,,,
3000361,16:35:00,16:35:00,3000000,1,,,,,
3000361,16:35:00,16:35:00,3000002,2,,,,,
3000361,16:35:00,16:35:00,3000001,3,,,,,
3000361,16:35:00,16:35:00,3000003,4,,,,,
3000362,16:40:00,16:40:00,3000000,1,,,,,
3000362,16:40:00,16:40:00,3000002,2,,,,,
3000362,16:40:00,16:40:00,3000001,3,,,,,
3000362,16:40:00,16:40:00,3000003,4,,,,,
3000363,16:45:00,16:45:00,3000000,1,,,,,
3000363,16:45:00,16:45:00,3000002,2,,,,,
3000363,16:45:00,16:45:00,3000001,3,,,,,
3000363,16:45:00,16:45:00,3000003,4,,,,,
3000364,16:50:00,16:50:00,3000000,1,,,,,
3000364,16:50:00,16:50:00,3000002,2,,,,,
3000364,16:50:00,16:50:00,3000001,3,,,,,
3000364,16:50:00,16:50:00,3000003,4,,,,,
3000365,16:55:00,16:55:00,3000000,1,,,,,
3000365,16:55:00,16:55:00,3000002,2,,,,,
3000365,16:55:00,16:55:00,3000001,3,,,,,
3000365,16:55:00,16:55:00,3000003,4,,,,,
3000366,17:00:00,17:00:00,3000000,1,,,,,
3000366,17:00:00,17:00:00,3000002,2,,,,,
3000366,17:00:00,17:00:00,3000001,3,,,,,
3000366,17:00:00,17:00:00,3000003,4,,,,,
3000367,17:05:00,17:05:00,3000000,1,,,,,
3000367,17:05:00,17:05:00,3000002,2,,,,,
3000367,17:05:00,17:05:00,3000001,3,,,,,
3000367,17:05:00,17:05:00,3000003,4,,,,,
3000368,17:10:00,17:10:00,3000000,1,,,,,
3000368,17:10:00,17:10:00,3000002,2,,,,,
3000368,17:10:00,17:10:00,3000001,3,,,,,
3000368,17:10:00,17:10:00,3000003,4,,,,,
3000369,17:15:00,17:15:00,3000000,1,,,,,
3000369,17:15:00,17:15:00,3000002,2,,,,,
3000369,17:15:00,17:15:00,3000001,3,,,,,
3000369,17:15:00,17:15:00,3000003,4,,,,,
3000370,17:20:00,17:20:00,3000000,1,,,,,
3000370,17:20:00,17:20:00,3000002,2,,,,,
3000370,17:20:00,17:20:00,3000001,3,,,,,
3000370,17:20:00,17:20:00,3000003,4,,,,,
3000371,17:25:00,17:25:00,3000000,1,,,,,
3000371,17:25:00,17:25:00,3000002,2,,,,,
3000371,17:25:00,17:25:00,3000001,3,,,,,
3000371,17:25:00,17:25:00,3000003,4,,,,,
3000372,17:30:00,17:30:00,3000000,1,,,,,
3000372,17:30:00,17:30:00,3000002,2,,,,,
3000372,17:30:00,17:30:00,3000001,3,,,,,
3000372,17:30:00,17:30:00,3000003,4,,,,,
3000373,17:35:00,17:35:00,3000000,1,,,,,
3000373,17:35:00,17:35:00,3000002,2,,,,,
3000373,17:35:00,17:35:00,3000001,3,,,,,
3000373,17:35:00,17:35:00,3000003,4,,,,,
3000374,17:40:00,17:40:00,3000000,1,,,,,
3000374,17:40:00,17:40:00,3000002,2,,,,,
3000374,17:40:00,17:40:00,3000001,3,,,,,
3000374,17:40:00,17:40:00,3000003,4,,,,,
3000375,17:45:00,17:45:00,3000000,1,,,,,
3000375,17:45:00,17:45:00,3000002,2,,,,,
3000375,17:45:00,17:45:00,3000001,3,,,,,
3000375,17:45:00,17:45:00,3000003,4,,,,,
3000376,17:50:00,17:50:00,3000000,1,,,,,
3000376,17:50:00,17:50:00,3000002,2,,,,,
3000376,17:50:00,17:50:00,3000001,3,,,,,
3000376,17:50:00,17:50:00,3000003,4,,,,,
3000377,17:55:00,17:55:00,3000000,1,,,,,
3000377,17:55:00,17:55:00,3000002,2,,,,,
3000377,17:55:00,17:55:00,3000001,3,,,,,
3000377,17:55:00,17:55:00,3000003,4,,,,,
3000378,18:00:00,18:00:00,3000000,1,,,,,
3000378,18:00:00,18:00:00,3000002,2,,,,,
3000378,18:00:00,18:00:00,3000001,3,,,,,
3000378,18:00:00,18:00:00,3000003,4,,,,,
3000379,18:05:00,18:05:00,3000000,1,,,,,
3000379,18:05:00,18:05:00,3000002,2,,,,,
3000379,18:05:00,18:05:00,3000001,3,,,,,
3000379,18:05:00,18:05:00,3000003,4,,,,,
3000380,18:10:00,18:10:00,3000000,1,,,,,
3000380,18:10:00,18:10:00,3000002,2,,,,,
3000380,18:10:00,18:10:00,3000001,3,,,,,
3000380,18:10:00,18:10:00,3000003,4,,,,,
3000381,18:15:00,18:15:00,3000000,1,,,,,
3000381,18:15:00,18:15:00,3000002,2,,,,,
3000381,18:15:00,18:15:00,3000001,3,,,,,
3000381,18:15:00,18:15:00,3000003,4,,,,,
3000382,18:20:00,18:20:00,3000000,1,,,,,
3000382,18:20:00,18:20:00,3000002,2,,,,,
3000382,18:20:00,18:20:00,3000001,3,,,,,
3000382,18:20:00,18:20:00,3000003,4,,,,,
3000383,18:25:00,18:25:00,3000000,1,,,,,
3000383,18:25:00,18:25:00,3000002,2,,,,,
3000383,18:25:00,18:25:00,3000001,3,,,,,
3000383,18:25:00,18:25:00,3000003,4,,,,,
3000384,18:30:00,18:30:00,3000000,1,,,,,
3000384,18:30:00,18:30:00,3000002,2,,,,,
3000384,18:30:00,18:30:00,3000001,3,,,,,
3000384,18:30:00,18:30:00,3000003,4,,,,,
3000385,18:40:00,18:40:00,3000000,1,,,,,
3000385,18:40:00,18:40:00,3000002,2,,,,,
3000385,18:40:00,18:40:00,3000001,3,,,,,
3000385,18:40:00,18:40:00,3000003,4,,,,,
3000386,18:50:00,18:50:00,3000000,1,,,,,
3000386,18:50:00,18:50:00,3000002,2,,,,,
3000386,18:50:00,18:50:00,3000001,3,,,,,
3000386,18:50:00,18:50:00,3000003,4,,,,,
3000387,19:00:00,19:00:00,3000000,1,,,,,
3000387,19:00:00,19:00:00,3000002,2,,,,,
3000387,19:00:00,19:00:00,3000001,3,,,,,
3000387,19:00:00,19:00:00,3000003,4,,,,,
3000388,19:10:00,19:10:00,3000000,1,,,,,
3000388,19:10:00,19:10:00,3000002,2,,,,,
3000388,19:10:00,19:10:00,3000001,3,,,,,
3000388,19:10:00,19:10:00,3000003,4,,,,,
3000389,19:20:00,19:20:00,3000000,1,,,,,
3000389,19:20:00,19:20:00,3000002,2,,,,,
3000389,19:20:00,19:20:00,3000001,3,,,,,
3000389,19:20:00,19:20:00,3000003,4,,,,,
3000390,19:30:00,19:30:00,3000000,1,,,,,
3000390,19:30:00,19:30:00,3000002,2,,,,,
3000390,19:30:00,19:30:00,3000001,3,,,,,
3000390,19:30:00,19:30:00,3000003,4,,,,,
3000391,19:40:00,19:40:00,3000000,1,,,,,
3000391,19:40:00,19:40:00,3000002,2,,,,,
3000391,19:40:00,19:40:00,3000001,3,,,,,
3000391,19:40:00,19:40:00,3000003,4,,,,,
3000392,19:50:00,19:50:00,3000000,1,,,,,
3000392,19:50:00,19:50:00,3000002,2,,,,,
3000392,19:50:00,19:50:00,3000001,3,,,,,
3000392,19:50:00,19:50:00,3000003,4,,,,,
3000393,20:00:00,20:00:00,3000000,1,,,,,
3000393,20:00:00,20:00:00,3000002,2,,,,,
3000393,20:00:00,20:00:00,3000001,3,,,,,
3000393,20:00:00,20:00:00,3000003,4,,,,,
3000394,20:10:00,20:10:00,3000000,1,,,,,
3000394,20:10:00,20:10:00,3000002,2,,,,,
3000394,20:10:00,20:10:00,3000001,3,,,,,
3000394,20:10:00,20:10:00,3000003,4,,,,,
3000395,20:20:00,20:20:00,3000000,1,,,,,
3000395,20:20:00,20:20:00,3000002,2,,,,,
3000395,20:20:00,20:20:00,3000001,3,,,,,
3000395,20:20:00,20:20:00,3000003,4,,,,,
3000396,20:30:00,20:30:00,3000000,1,,,,,
3000396,20:30:00,20:30:00,3000002,2,,,,,
3000396,20:30:00,20:30:00,3000001,3,,,,,
3000396,20:30:00,20:30:00,3000003,4,,,,,
3000397,20:40:00,20:40:00,3000000,1,,,,,
3000397,20:40:00,20:40:00,3000002,2,,,,,
3000397,20:40:00,20:40:00,3000001,3,,,,,
3000397,20:40:00,20:40:00,3000003,4,,,,,
3000398,20:50:00,20:50:00,3000000,1,,,,,
3000398,20:50:00,20:50:00,3000002,2,,,,,
3000398,20:50:00,20:50:00,3000001,3,,,,,
3000398,20:50:00,20:50:00,3000003,4,,,,,
3000399,21:00:00,21:00:00,3000000,1,,,,,
3000399,21:00:00,21:00:00,3000002,2,,,,,
3000399,21:00:00,21:00:00,3000001,3,,,,,
3000399,21:00:00,21:00:00,3000003,4,,,,,
3000400,21:10:00,21:10:00,3000000,1,,,,,
3000400,21:10:00,21:10:00,3000002,2,,,,,
3000400,21:10:00,21:10:00,3000001,3,,,,,
3000400,21:10:00,21:10:00,3000003,4,,,,,
3000401,21:20:00,21:20:00,3000000,1,,,,,
3000401,21:20:00,21:20:00,3000002,2,,,,,
3000401,21:20:00,21:20:00,3000001,3,,,,,
3000401,21:20:00,21:20:00,3000003,4,,,,,
3000402,21:30:00,21:30:00,3000000,1,,,,,
3000402,21:30:00,21:30:00,3000002,2,,,,,
3000402,21:30:00,21:30:00,3000001,3,,,,,
3000402,21:30:00,21:30:00,3000003,4,,,,,
3000403,21:40:00,21:40:00,3000000,1,,,,,
3000403,21:40:00,21:40:00,3000002,2,,,,,
3000403,21:40:00,21:40:00,3000001,3,,,,,
3000403,21:40:00,21:40:00,3000003,4,,,,,
3000404,21:50:00,21:50:00,3000000,1,,,,,
3000404,21:50:00,21:50:00,3000002,2,,,,,
3000404,21:50:00,21:50:00,3000001,3,,,,,
3000404,21:50:00,21:50:00,3000003,4,,,,,
3000405,22:00:00,22:00:00,3000000,1,,,,,
3000405,22:00:00,22:00:00,3000002,2,,,,,
3000405,22:00:00,22:00:00,3000001,3,,,,,
3000405,22:00:00,22:00:00,3000003,4,,,,,
3000406,22:10:00,22:10:00,3000000,1,,,,,
3000406,22:10:00,22:10:00,3000002,2,,,,,
3000406,22:10:00,22:10:00,3000001,3,,,,,
3000406,22:10:00,22:10:00,3000003,4,,,,,
3000407,22:20:00,22:20:00,3000000,1,,,,,
3000407,22:20:00,22:20:00,3000002,2,,,,,
3000407,22:20:00,22:20:00,3000001,3,,,,,
